iid,gender,wave,round,age,field_cd,race,imprace,imprelig,goal,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1
2,0,1,10,24.0,1.0,2.0,2.0,5.0,1.0,,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,45.0,5.0,25.0,20.0,0.0,5.0,65.0,0.0,10.0,25.0,0.0,0.0
2,0,1,10,24.0,1.0,2.0,2.0,5.0,1.0,,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,45.0,5.0,25.0,20.0,0.0,5.0,65.0,0.0,10.0,25.0,0.0,0.0
2,0,1,10,24.0,1.0,2.0,2.0,5.0,1.0,,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,45.0,5.0,25.0,20.0,0.0,5.0,65.0,0.0,10.0,25.0,0.0,0.0
2,0,1,10,24.0,1.0,2.0,2.0,5.0,1.0,,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,45.0,5.0,25.0,20.0,0.0,5.0,65.0,0.0,10.0,25.0,0.0,0.0
2,0,1,10,24.0,1.0,2.0,2.0,5.0,1.0,,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,45.0,5.0,25.0,20.0,0.0,5.0,65.0,0.0,10.0,25.0,0.0,0.0
2,0,1,10,24.0,1.0,2.0,2.0,5.0,1.0,,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,45.0,5.0,25.0,20.0,0.0,5.0,65.0,0.0,10.0,25.0,0.0,0.0
2,0,1,10,24.0,1.0,2.0,2.0,5.0,1.0,,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,45.0,5.0,25.0,20.0,0.0,5.0,65.0,0.0,10.0,25.0,0.0,0.0
2,0,1,10,24.0,1.0,2.0,2.0,5.0,1.0,,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,45.0,5.0,25.0,20.0,0.0,5.0,65.0,0.0,10.0,25.0,0.0,0.0
2,0,1,10,24.0,1.0,2.0,2.0,5.0,1.0,,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,45.0,5.0,25.0,20.0,0.0,5.0,65.0,0.0,10.0,25.0,0.0,0.0
2,0,1,10,24.0,1.0,2.0,2.0,5.0,1.0,,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,45.0,5.0,25.0,20.0,0.0,5.0,65.0,0.0,10.0,25.0,0.0,0.0
3,0,1,10,25.0,2.0,2.0,8.0,4.0,6.0,,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,35.0,10.0,35.0,10.0,10.0,0.0,50.0,0.0,20.0,30.0,0.0,0.0
3,0,1,10,25.0,2.0,2.0,8.0,4.0,6.0,,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,35.0,10.0,35.0,10.0,10.0,0.0,50.0,0.0,20.0,30.0,0.0,0.0
3,0,1,10,25.0,2.0,2.0,8.0,4.0,6.0,,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,35.0,10.0,35.0,10.0,10.0,0.0,50.0,0.0,20.0,30.0,0.0,0.0
3,0,1,10,25.0,2.0,2.0,8.0,4.0,6.0,,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,35.0,10.0,35.0,10.0,10.0,0.0,50.0,0.0,20.0,30.0,0.0,0.0
3,0,1,10,25.0,2.0,2.0,8.0,4.0,6.0,,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,35.0,10.0,35.0,10.0,10.0,0.0,50.0,0.0,20.0,30.0,0.0,0.0
3,0,1,10,25.0,2.0,2.0,8.0,4.0,6.0,,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,35.0,10.0,35.0,10.0,10.0,0.0,50.0,0.0,20.0,30.0,0.0,0.0
3,0,1,10,25.0,2.0,2.0,8.0,4.0,6.0,,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,35.0,10.0,35.0,10.0,10.0,0.0,50.0,0.0,20.0,30.0,0.0,0.0
3,0,1,10,25.0,2.0,2.0,8.0,4.0,6.0,,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,35.0,10.0,35.0,10.0,10.0,0.0,50.0,0.0,20.0,30.0,0.0,0.0
3,0,1,10,25.0,2.0,2.0,8.0,4.0,6.0,,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,35.0,10.0,35.0,10.0,10.0,0.0,50.0,0.0,20.0,30.0,0.0,0.0
3,0,1,10,25.0,2.0,2.0,8.0,4.0,6.0,,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,35.0,10.0,35.0,10.0,10.0,0.0,50.0,0.0,20.0,30.0,0.0,0.0
4,0,1,10,23.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,20.0,20.0,20.0,20.0,10.0,10.0,30.0,10.0,15.0,30.0,5.0,10.0
4,0,1,10,23.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,20.0,20.0,20.0,20.0,10.0,10.0,30.0,10.0,15.0,30.0,5.0,10.0
4,0,1,10,23.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,20.0,20.0,20.0,20.0,10.0,10.0,30.0,10.0,15.0,30.0,5.0,10.0
4,0,1,10,23.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,20.0,20.0,20.0,20.0,10.0,10.0,30.0,10.0,15.0,30.0,5.0,10.0
4,0,1,10,23.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,20.0,20.0,20.0,20.0,10.0,10.0,30.0,10.0,15.0,30.0,5.0,10.0
4,0,1,10,23.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,20.0,20.0,20.0,20.0,10.0,10.0,30.0,10.0,15.0,30.0,5.0,10.0
4,0,1,10,23.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,20.0,20.0,20.0,20.0,10.0,10.0,30.0,10.0,15.0,30.0,5.0,10.0
4,0,1,10,23.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,20.0,20.0,20.0,20.0,10.0,10.0,30.0,10.0,15.0,30.0,5.0,10.0
4,0,1,10,23.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,20.0,20.0,20.0,20.0,10.0,10.0,30.0,10.0,15.0,30.0,5.0,10.0
4,0,1,10,23.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,20.0,20.0,20.0,20.0,10.0,10.0,30.0,10.0,15.0,30.0,5.0,10.0
5,0,1,10,21.0,1.0,2.0,8.0,1.0,2.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,20.0,5.0,25.0,25.0,10.0,15.0,50.0,10.0,10.0,20.0,5.0,5.0
5,0,1,10,21.0,1.0,2.0,8.0,1.0,2.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,20.0,5.0,25.0,25.0,10.0,15.0,50.0,10.0,10.0,20.0,5.0,5.0
5,0,1,10,21.0,1.0,2.0,8.0,1.0,2.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,20.0,5.0,25.0,25.0,10.0,15.0,50.0,10.0,10.0,20.0,5.0,5.0
5,0,1,10,21.0,1.0,2.0,8.0,1.0,2.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,20.0,5.0,25.0,25.0,10.0,15.0,50.0,10.0,10.0,20.0,5.0,5.0
5,0,1,10,21.0,1.0,2.0,8.0,1.0,2.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,20.0,5.0,25.0,25.0,10.0,15.0,50.0,10.0,10.0,20.0,5.0,5.0
5,0,1,10,21.0,1.0,2.0,8.0,1.0,2.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,20.0,5.0,25.0,25.0,10.0,15.0,50.0,10.0,10.0,20.0,5.0,5.0
5,0,1,10,21.0,1.0,2.0,8.0,1.0,2.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,20.0,5.0,25.0,25.0,10.0,15.0,50.0,10.0,10.0,20.0,5.0,5.0
5,0,1,10,21.0,1.0,2.0,8.0,1.0,2.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,20.0,5.0,25.0,25.0,10.0,15.0,50.0,10.0,10.0,20.0,5.0,5.0
5,0,1,10,21.0,1.0,2.0,8.0,1.0,2.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,20.0,5.0,25.0,25.0,10.0,15.0,50.0,10.0,10.0,20.0,5.0,5.0
5,0,1,10,21.0,1.0,2.0,8.0,1.0,2.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,20.0,5.0,25.0,25.0,10.0,15.0,50.0,10.0,10.0,20.0,5.0,5.0
6,0,1,10,23.0,1.0,4.0,1.0,1.0,1.0,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,10.0,25.0,20.0,25.0,5.0,15.0,25.0,10.0,10.0,25.0,10.0,20.0
6,0,1,10,23.0,1.0,4.0,1.0,1.0,1.0,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,10.0,25.0,20.0,25.0,5.0,15.0,25.0,10.0,10.0,25.0,10.0,20.0
6,0,1,10,23.0,1.0,4.0,1.0,1.0,1.0,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,10.0,25.0,20.0,25.0,5.0,15.0,25.0,10.0,10.0,25.0,10.0,20.0
6,0,1,10,23.0,1.0,4.0,1.0,1.0,1.0,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,10.0,25.0,20.0,25.0,5.0,15.0,25.0,10.0,10.0,25.0,10.0,20.0
6,0,1,10,23.0,1.0,4.0,1.0,1.0,1.0,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,10.0,25.0,20.0,25.0,5.0,15.0,25.0,10.0,10.0,25.0,10.0,20.0
6,0,1,10,23.0,1.0,4.0,1.0,1.0,1.0,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,10.0,25.0,20.0,25.0,5.0,15.0,25.0,10.0,10.0,25.0,10.0,20.0
6,0,1,10,23.0,1.0,4.0,1.0,1.0,1.0,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,10.0,25.0,20.0,25.0,5.0,15.0,25.0,10.0,10.0,25.0,10.0,20.0
6,0,1,10,23.0,1.0,4.0,1.0,1.0,1.0,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,10.0,25.0,20.0,25.0,5.0,15.0,25.0,10.0,10.0,25.0,10.0,20.0
6,0,1,10,23.0,1.0,4.0,1.0,1.0,1.0,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,10.0,25.0,20.0,25.0,5.0,15.0,25.0,10.0,10.0,25.0,10.0,20.0
6,0,1,10,23.0,1.0,4.0,1.0,1.0,1.0,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,10.0,25.0,20.0,25.0,5.0,15.0,25.0,10.0,10.0,25.0,10.0,20.0
7,0,1,10,22.0,1.0,4.0,2.0,4.0,1.0,1.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,15.0,15.0,25.0,20.0,15.0,10.0,30.0,12.0,13.0,25.0,10.0,10.0
7,0,1,10,22.0,1.0,4.0,2.0,4.0,1.0,1.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,15.0,15.0,25.0,20.0,15.0,10.0,30.0,12.0,13.0,25.0,10.0,10.0
7,0,1,10,22.0,1.0,4.0,2.0,4.0,1.0,1.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,15.0,15.0,25.0,20.0,15.0,10.0,30.0,12.0,13.0,25.0,10.0,10.0
7,0,1,10,22.0,1.0,4.0,2.0,4.0,1.0,1.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,15.0,15.0,25.0,20.0,15.0,10.0,30.0,12.0,13.0,25.0,10.0,10.0
7,0,1,10,22.0,1.0,4.0,2.0,4.0,1.0,1.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,15.0,15.0,25.0,20.0,15.0,10.0,30.0,12.0,13.0,25.0,10.0,10.0
7,0,1,10,22.0,1.0,4.0,2.0,4.0,1.0,1.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,15.0,15.0,25.0,20.0,15.0,10.0,30.0,12.0,13.0,25.0,10.0,10.0
7,0,1,10,22.0,1.0,4.0,2.0,4.0,1.0,1.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,15.0,15.0,25.0,20.0,15.0,10.0,30.0,12.0,13.0,25.0,10.0,10.0
7,0,1,10,22.0,1.0,4.0,2.0,4.0,1.0,1.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,15.0,15.0,25.0,20.0,15.0,10.0,30.0,12.0,13.0,25.0,10.0,10.0
7,0,1,10,22.0,1.0,4.0,2.0,4.0,1.0,1.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,15.0,15.0,25.0,20.0,15.0,10.0,30.0,12.0,13.0,25.0,10.0,10.0
7,0,1,10,22.0,1.0,4.0,2.0,4.0,1.0,1.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,15.0,15.0,25.0,20.0,15.0,10.0,30.0,12.0,13.0,25.0,10.0,10.0
8,0,1,10,25.0,13.0,2.0,1.0,1.0,1.0,6.0,2.0,2.0,1.0,10.0,9.0,9.0,3.0,2.0,10.0,8.0,10.0,9.0,9.0,6.0,6.0,8.0,6.0,9.09,18.18,27.27,18.18,18.18,9.09,30.0,10.0,20.0,30.0,5.0,5.0
8,0,1,10,25.0,13.0,2.0,1.0,1.0,1.0,6.0,2.0,2.0,1.0,10.0,9.0,9.0,3.0,2.0,10.0,8.0,10.0,9.0,9.0,6.0,6.0,8.0,6.0,9.09,18.18,27.27,18.18,18.18,9.09,30.0,10.0,20.0,30.0,5.0,5.0
8,0,1,10,25.0,13.0,2.0,1.0,1.0,1.0,6.0,2.0,2.0,1.0,10.0,9.0,9.0,3.0,2.0,10.0,8.0,10.0,9.0,9.0,6.0,6.0,8.0,6.0,9.09,18.18,27.27,18.18,18.18,9.09,30.0,10.0,20.0,30.0,5.0,5.0
8,0,1,10,25.0,13.0,2.0,1.0,1.0,1.0,6.0,2.0,2.0,1.0,10.0,9.0,9.0,3.0,2.0,10.0,8.0,10.0,9.0,9.0,6.0,6.0,8.0,6.0,9.09,18.18,27.27,18.18,18.18,9.09,30.0,10.0,20.0,30.0,5.0,5.0
8,0,1,10,25.0,13.0,2.0,1.0,1.0,1.0,6.0,2.0,2.0,1.0,10.0,9.0,9.0,3.0,2.0,10.0,8.0,10.0,9.0,9.0,6.0,6.0,8.0,6.0,9.09,18.18,27.27,18.18,18.18,9.09,30.0,10.0,20.0,30.0,5.0,5.0
8,0,1,10,25.0,13.0,2.0,1.0,1.0,1.0,6.0,2.0,2.0,1.0,10.0,9.0,9.0,3.0,2.0,10.0,8.0,10.0,9.0,9.0,6.0,6.0,8.0,6.0,9.09,18.18,27.27,18.18,18.18,9.09,30.0,10.0,20.0,30.0,5.0,5.0
8,0,1,10,25.0,13.0,2.0,1.0,1.0,1.0,6.0,2.0,2.0,1.0,10.0,9.0,9.0,3.0,2.0,10.0,8.0,10.0,9.0,9.0,6.0,6.0,8.0,6.0,9.09,18.18,27.27,18.18,18.18,9.09,30.0,10.0,20.0,30.0,5.0,5.0
8,0,1,10,25.0,13.0,2.0,1.0,1.0,1.0,6.0,2.0,2.0,1.0,10.0,9.0,9.0,3.0,2.0,10.0,8.0,10.0,9.0,9.0,6.0,6.0,8.0,6.0,9.09,18.18,27.27,18.18,18.18,9.09,30.0,10.0,20.0,30.0,5.0,5.0
8,0,1,10,25.0,13.0,2.0,1.0,1.0,1.0,6.0,2.0,2.0,1.0,10.0,9.0,9.0,3.0,2.0,10.0,8.0,10.0,9.0,9.0,6.0,6.0,8.0,6.0,9.09,18.18,27.27,18.18,18.18,9.09,30.0,10.0,20.0,30.0,5.0,5.0
8,0,1,10,25.0,13.0,2.0,1.0,1.0,1.0,6.0,2.0,2.0,1.0,10.0,9.0,9.0,3.0,2.0,10.0,8.0,10.0,9.0,9.0,6.0,6.0,8.0,6.0,9.09,18.18,27.27,18.18,18.18,9.09,30.0,10.0,20.0,30.0,5.0,5.0
9,0,1,10,26.0,13.0,6.0,1.0,1.0,1.0,9.0,4.0,3.0,1.0,8.0,6.0,7.0,2.0,2.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,3.0,20.0,10.0,20.0,30.0,10.0,10.0,30.0,20.0,10.0,20.0,10.0,10.0
9,0,1,10,26.0,13.0,6.0,1.0,1.0,1.0,9.0,4.0,3.0,1.0,8.0,6.0,7.0,2.0,2.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,3.0,20.0,10.0,20.0,30.0,10.0,10.0,30.0,20.0,10.0,20.0,10.0,10.0
9,0,1,10,26.0,13.0,6.0,1.0,1.0,1.0,9.0,4.0,3.0,1.0,8.0,6.0,7.0,2.0,2.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,3.0,20.0,10.0,20.0,30.0,10.0,10.0,30.0,20.0,10.0,20.0,10.0,10.0
9,0,1,10,26.0,13.0,6.0,1.0,1.0,1.0,9.0,4.0,3.0,1.0,8.0,6.0,7.0,2.0,2.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,3.0,20.0,10.0,20.0,30.0,10.0,10.0,30.0,20.0,10.0,20.0,10.0,10.0
9,0,1,10,26.0,13.0,6.0,1.0,1.0,1.0,9.0,4.0,3.0,1.0,8.0,6.0,7.0,2.0,2.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,3.0,20.0,10.0,20.0,30.0,10.0,10.0,30.0,20.0,10.0,20.0,10.0,10.0
9,0,1,10,26.0,13.0,6.0,1.0,1.0,1.0,9.0,4.0,3.0,1.0,8.0,6.0,7.0,2.0,2.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,3.0,20.0,10.0,20.0,30.0,10.0,10.0,30.0,20.0,10.0,20.0,10.0,10.0
9,0,1,10,26.0,13.0,6.0,1.0,1.0,1.0,9.0,4.0,3.0,1.0,8.0,6.0,7.0,2.0,2.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,3.0,20.0,10.0,20.0,30.0,10.0,10.0,30.0,20.0,10.0,20.0,10.0,10.0
9,0,1,10,26.0,13.0,6.0,1.0,1.0,1.0,9.0,4.0,3.0,1.0,8.0,6.0,7.0,2.0,2.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,3.0,20.0,10.0,20.0,30.0,10.0,10.0,30.0,20.0,10.0,20.0,10.0,10.0
9,0,1,10,26.0,13.0,6.0,1.0,1.0,1.0,9.0,4.0,3.0,1.0,8.0,6.0,7.0,2.0,2.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,3.0,20.0,10.0,20.0,30.0,10.0,10.0,30.0,20.0,10.0,20.0,10.0,10.0
9,0,1,10,26.0,13.0,6.0,1.0,1.0,1.0,9.0,4.0,3.0,1.0,8.0,6.0,7.0,2.0,2.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,3.0,20.0,10.0,20.0,30.0,10.0,10.0,30.0,20.0,10.0,20.0,10.0,10.0
