iid,gender,wave,round,age,race,dec,like,prob,met,match,satis_2,length,numdat_2,samerace,match_es,attr1_2,sinc1_2,intel1_2,fun1_2,amb1_2,shar1_2,attr2_2,sinc2_2,intel2_2,fun2_2,amb2_2,shar2_2
5,0,1,10,21.0,2.0,0,6.0,4.0,1.0,0,7.0,2.0,2.0,1,,15.79,13.16,18.42,15.79,15.79,21.05,,,,,,
5,0,1,10,21.0,2.0,0,6.0,5.0,1.0,0,7.0,2.0,2.0,0,,15.79,13.16,18.42,15.79,15.79,21.05,,,,,,
5,0,1,10,21.0,2.0,1,8.0,2.0,1.0,1,7.0,2.0,2.0,1,,15.79,13.16,18.42,15.79,15.79,21.05,,,,,,
5,0,1,10,21.0,2.0,0,7.0,4.0,2.0,0,7.0,2.0,2.0,0,,15.79,13.16,18.42,15.79,15.79,21.05,,,,,,
5,0,1,10,21.0,2.0,1,7.0,3.0,2.0,0,7.0,2.0,2.0,1,,15.79,13.16,18.42,15.79,15.79,21.05,,,,,,
5,0,1,10,21.0,2.0,1,6.0,3.0,2.0,0,7.0,2.0,2.0,1,,15.79,13.16,18.42,15.79,15.79,21.05,,,,,,
5,0,1,10,21.0,2.0,1,6.0,4.0,2.0,0,7.0,2.0,2.0,1,,15.79,13.16,18.42,15.79,15.79,21.05,,,,,,
5,0,1,10,21.0,2.0,1,9.0,4.0,2.0,1,7.0,2.0,2.0,1,,15.79,13.16,18.42,15.79,15.79,21.05,,,,,,
5,0,1,10,21.0,2.0,1,10.0,3.0,2.0,0,7.0,2.0,2.0,1,,15.79,13.16,18.42,15.79,15.79,21.05,,,,,,
6,0,1,10,23.0,4.0,1,6.0,6.0,2.0,0,3.0,3.0,2.0,0,4.0,10.26,25.64,20.51,23.08,2.56,17.95,,,,,,
6,0,1,10,23.0,4.0,1,7.0,6.0,2.0,0,3.0,3.0,2.0,0,4.0,10.26,25.64,20.51,23.08,2.56,17.95,,,,,,
6,0,1,10,23.0,4.0,0,6.0,2.0,1.0,0,3.0,3.0,2.0,1,4.0,10.26,25.64,20.51,23.08,2.56,17.95,,,,,,
6,0,1,10,23.0,4.0,1,9.0,4.0,2.0,1,3.0,3.0,2.0,0,4.0,10.26,25.64,20.51,23.08,2.56,17.95,,,,,,
6,0,1,10,23.0,4.0,0,4.0,3.0,1.0,0,3.0,3.0,2.0,0,4.0,10.26,25.64,20.51,23.08,2.56,17.95,,,,,,
6,0,1,10,23.0,4.0,0,2.0,2.0,2.0,0,3.0,3.0,2.0,0,4.0,10.26,25.64,20.51,23.08,2.56,17.95,,,,,,
6,0,1,10,23.0,4.0,1,8.0,7.0,2.0,0,3.0,3.0,2.0,0,4.0,10.26,25.64,20.51,23.08,2.56,17.95,,,,,,
6,0,1,10,23.0,4.0,0,5.0,5.0,2.0,0,3.0,3.0,2.0,0,4.0,10.26,25.64,20.51,23.08,2.56,17.95,,,,,,
6,0,1,10,23.0,4.0,1,9.0,6.0,2.0,1,3.0,3.0,2.0,0,4.0,10.26,25.64,20.51,23.08,2.56,17.95,,,,,,
6,0,1,10,23.0,4.0,1,9.0,8.0,2.0,0,3.0,3.0,2.0,0,4.0,10.26,25.64,20.51,23.08,2.56,17.95,,,,,,
7,0,1,10,22.0,4.0,0,7.0,4.0,2.0,0,,,,0,2.0,,,,,,,,,,,,
7,0,1,10,22.0,4.0,0,7.0,3.0,1.0,0,,,,0,2.0,,,,,,,,,,,,
7,0,1,10,22.0,4.0,0,7.0,8.0,1.0,0,,,,1,2.0,,,,,,,,,,,,
7,0,1,10,22.0,4.0,1,8.0,6.0,1.0,1,,,,0,2.0,,,,,,,,,,,,
7,0,1,10,22.0,4.0,0,5.0,6.0,1.0,0,,,,0,2.0,,,,,,,,,,,,
7,0,1,10,22.0,4.0,0,5.0,5.0,2.0,0,,,,0,2.0,,,,,,,,,,,,
7,0,1,10,22.0,4.0,1,8.0,7.0,2.0,0,,,,0,2.0,,,,,,,,,,,,
7,0,1,10,22.0,4.0,0,5.0,7.0,2.0,0,,,,0,2.0,,,,,,,,,,,,
7,0,1,10,22.0,4.0,1,6.0,6.0,2.0,1,,,,0,2.0,,,,,,,,,,,,
7,0,1,10,22.0,4.0,1,7.0,5.0,2.0,0,,,,0,2.0,,,,,,,,,,,,
8,0,1,10,25.0,2.0,1,4.0,5.0,2.0,0,,,,1,,,,,,,,,,,,,
8,0,1,10,25.0,2.0,1,8.0,7.0,2.0,1,,,,1,,,,,,,,,,,,,
8,0,1,10,25.0,2.0,1,5.0,5.0,2.0,1,,,,0,,,,,,,,,,,,,
8,0,1,10,25.0,2.0,1,5.0,6.0,2.0,1,,,,1,,,,,,,,,,,,,
8,0,1,10,25.0,2.0,1,6.0,5.0,2.0,1,,,,0,,,,,,,,,,,,,
8,0,1,10,25.0,2.0,1,6.0,5.0,2.0,1,,,,1,,,,,,,,,,,,,
8,0,1,10,25.0,2.0,1,6.0,6.0,2.0,0,,,,1,,,,,,,,,,,,,
8,0,1,10,25.0,2.0,1,5.0,4.0,2.0,1,,,,1,,,,,,,,,,,,,
8,0,1,10,25.0,2.0,1,7.0,10.0,2.0,1,,,,1,,,,,,,,,,,,,
8,0,1,10,25.0,2.0,1,8.0,7.0,2.0,1,,,,1,,,,,,,,,,,,,
9,0,1,10,26.0,6.0,1,5.0,5.0,2.0,0,6.0,2.0,1.0,0,1.0,13.33,17.78,22.22,22.22,13.33,11.11,,,,,,
9,0,1,10,26.0,6.0,1,10.0,5.0,2.0,1,6.0,2.0,1.0,0,1.0,13.33,17.78,22.22,22.22,13.33,11.11,,,,,,
9,0,1,10,26.0,6.0,1,8.0,5.0,2.0,1,6.0,2.0,1.0,0,1.0,13.33,17.78,22.22,22.22,13.33,11.11,,,,,,
9,0,1,10,26.0,6.0,1,7.0,5.0,2.0,1,6.0,2.0,1.0,0,1.0,13.33,17.78,22.22,22.22,13.33,11.11,,,,,,
9,0,1,10,26.0,6.0,1,5.0,5.0,2.0,1,6.0,2.0,1.0,0,1.0,13.33,17.78,22.22,22.22,13.33,11.11,,,,,,
9,0,1,10,26.0,6.0,1,6.0,5.0,2.0,1,6.0,2.0,1.0,0,1.0,13.33,17.78,22.22,22.22,13.33,11.11,,,,,,
9,0,1,10,26.0,6.0,1,7.0,5.0,2.0,1,6.0,2.0,1.0,0,1.0,13.33,17.78,22.22,22.22,13.33,11.11,,,,,,
9,0,1,10,26.0,6.0,1,7.0,5.0,2.0,0,6.0,2.0,1.0,0,1.0,13.33,17.78,22.22,22.22,13.33,11.11,,,,,,
9,0,1,10,26.0,6.0,1,7.0,6.0,2.0,1,6.0,2.0,1.0,0,1.0,13.33,17.78,22.22,22.22,13.33,11.11,,,,,,
9,0,1,10,26.0,6.0,1,8.0,5.0,2.0,0,6.0,2.0,1.0,0,1.0,13.33,17.78,22.22,22.22,13.33,11.11,,,,,,
10,0,1,10,26.0,2.0,0,6.0,3.0,2.0,0,2.0,2.0,2.0,1,,35.71,3.57,10.71,28.57,3.57,17.86,,,,,,
10,0,1,10,26.0,2.0,0,1.0,1.0,1.0,0,2.0,2.0,2.0,1,,35.71,3.57,10.71,28.57,3.57,17.86,,,,,,
10,0,1,10,26.0,2.0,1,7.0,6.0,2.0,1,2.0,2.0,2.0,0,,35.71,3.57,10.71,28.57,3.57,17.86,,,,,,
10,0,1,10,26.0,2.0,0,10.0,1.0,1.0,0,2.0,2.0,2.0,1,,35.71,3.57,10.71,28.57,3.57,17.86,,,,,,
10,0,1,10,26.0,2.0,0,6.0,1.0,2.0,0,2.0,2.0,2.0,0,,35.71,3.57,10.71,28.57,3.57,17.86,,,,,,
10,0,1,10,26.0,2.0,0,6.0,1.0,2.0,0,2.0,2.0,2.0,1,,35.71,3.57,10.71,28.57,3.57,17.86,,,,,,
10,0,1,10,26.0,2.0,1,7.0,1.0,2.0,0,2.0,2.0,2.0,1,,35.71,3.57,10.71,28.57,3.57,17.86,,,,,,
10,0,1,10,26.0,2.0,0,5.0,5.0,2.0,0,2.0,2.0,2.0,1,,35.71,3.57,10.71,28.57,3.57,17.86,,,,,,
10,0,1,10,26.0,2.0,1,9.0,9.0,2.0,1,2.0,2.0,2.0,1,,35.71,3.57,10.71,28.57,3.57,17.86,,,,,,
10,0,1,10,26.0,2.0,1,9.0,10.0,2.0,0,2.0,2.0,2.0,1,,35.71,3.57,10.71,28.57,3.57,17.86,,,,,,
11,1,1,10,27.0,2.0,0,7.0,4.0,2.0,0,7.0,2.0,,0,0.0,19.51,17.07,17.07,17.07,12.2,17.07,,,,,,
11,1,1,10,27.0,2.0,0,7.0,2.0,2.0,0,7.0,2.0,,1,0.0,19.51,17.07,17.07,17.07,12.2,17.07,,,,,,
11,1,1,10,27.0,2.0,0,5.0,2.0,1.0,0,7.0,2.0,,1,0.0,19.51,17.07,17.07,17.07,12.2,17.07,,,,,,
11,1,1,10,27.0,2.0,0,6.0,3.0,2.0,0,7.0,2.0,,1,0.0,19.51,17.07,17.07,17.07,12.2,17.07,,,,,,
11,1,1,10,27.0,2.0,0,6.0,5.0,2.0,0,7.0,2.0,,1,0.0,19.51,17.07,17.07,17.07,12.2,17.07,,,,,,
11,1,1,10,27.0,2.0,0,7.0,4.0,2.0,0,7.0,2.0,,0,0.0,19.51,17.07,17.07,17.07,12.2,17.07,,,,,,
11,1,1,10,27.0,2.0,0,7.0,4.0,2.0,0,7.0,2.0,,0,0.0,19.51,17.07,17.07,17.07,12.2,17.07,,,,,,
11,1,1,10,27.0,2.0,0,7.0,4.0,2.0,0,7.0,2.0,,1,0.0,19.51,17.07,17.07,17.07,12.2,17.07,,,,,,
11,1,1,10,27.0,2.0,0,6.0,4.0,2.0,0,7.0,2.0,,0,0.0,19.51,17.07,17.07,17.07,12.2,17.07,,,,,,
11,1,1,10,27.0,2.0,0,6.0,3.0,2.0,0,7.0,2.0,,1,0.0,19.51,17.07,17.07,17.07,12.2,17.07,,,,,,
12,1,1,10,22.0,2.0,0,8.0,4.0,2.0,0,,,,0,3.0,,,,,,,,,,,,
12,1,1,10,22.0,2.0,0,8.0,4.0,2.0,0,,,,1,3.0,,,,,,,,,,,,
12,1,1,10,22.0,2.0,0,7.0,3.0,2.0,0,,,,1,3.0,,,,,,,,,,,,
12,1,1,10,22.0,2.0,0,6.0,3.0,1.0,0,,,,1,3.0,,,,,,,,,,,,
12,1,1,10,22.0,2.0,0,7.0,4.0,1.0,0,,,,1,3.0,,,,,,,,,,,,
12,1,1,10,22.0,2.0,0,7.0,4.0,2.0,0,,,,0,3.0,,,,,,,,,,,,
12,1,1,10,22.0,2.0,1,8.0,4.0,1.0,0,,,,0,3.0,,,,,,,,,,,,
12,1,1,10,22.0,2.0,1,9.0,4.0,2.0,1,,,,1,3.0,,,,,,,,,,,,
12,1,1,10,22.0,2.0,1,8.0,4.0,2.0,1,,,,0,3.0,,,,,,,,,,,,
12,1,1,10,22.0,2.0,0,1.0,1.0,2.0,0,,,,1,3.0,,,,,,,,,,,,
13,1,1,10,22.0,4.0,1,10.0,10.0,1.0,1,10.0,3.0,1.0,1,,20.0,20.0,20.0,20.0,7.5,12.5,,,,,,
13,1,1,10,22.0,4.0,1,10.0,10.0,2.0,0,10.0,3.0,1.0,0,,20.0,20.0,20.0,20.0,7.5,12.5,,,,,,
13,1,1,10,22.0,4.0,1,10.0,10.0,2.0,0,10.0,3.0,1.0,0,,20.0,20.0,20.0,20.0,7.5,12.5,,,,,,
13,1,1,10,22.0,4.0,1,10.0,10.0,2.0,0,10.0,3.0,1.0,0,,20.0,20.0,20.0,20.0,7.5,12.5,,,,,,
13,1,1,10,22.0,4.0,1,10.0,10.0,1.0,0,10.0,3.0,1.0,0,,20.0,20.0,20.0,20.0,7.5,12.5,,,,,,
13,1,1,10,22.0,4.0,1,10.0,10.0,1.0,0,10.0,3.0,1.0,1,,20.0,20.0,20.0,20.0,7.5,12.5,,,,,,
13,1,1,10,22.0,4.0,1,10.0,10.0,2.0,0,10.0,3.0,1.0,1,,20.0,20.0,20.0,20.0,7.5,12.5,,,,,,
13,1,1,10,22.0,4.0,1,10.0,10.0,2.0,1,10.0,3.0,1.0,0,,20.0,20.0,20.0,20.0,7.5,12.5,,,,,,
13,1,1,10,22.0,4.0,1,10.0,10.0,2.0,1,10.0,3.0,1.0,0,,20.0,20.0,20.0,20.0,7.5,12.5,,,,,,
13,1,1,10,22.0,4.0,1,10.0,10.0,2.0,1,10.0,3.0,1.0,0,,20.0,20.0,20.0,20.0,7.5,12.5,,,,,,
14,1,1,10,23.0,2.0,1,7.0,7.0,2.0,1,6.0,3.0,,0,,20.0,14.29,17.14,22.86,14.29,11.43,,,,,,
14,1,1,10,23.0,2.0,1,9.0,7.0,2.0,1,6.0,3.0,,1,,20.0,14.29,17.14,22.86,14.29,11.43,,,,,,
14,1,1,10,23.0,2.0,1,7.0,7.0,2.0,0,6.0,3.0,,1,,20.0,14.29,17.14,22.86,14.29,11.43,,,,,,
14,1,1,10,23.0,2.0,1,8.0,10.0,1.0,1,6.0,3.0,,1,,20.0,14.29,17.14,22.86,14.29,11.43,,,,,,
14,1,1,10,23.0,2.0,1,7.0,7.0,1.0,1,6.0,3.0,,1,,20.0,14.29,17.14,22.86,14.29,11.43,,,,,,
14,1,1,10,23.0,2.0,1,7.0,7.0,2.0,1,6.0,3.0,,0,,20.0,14.29,17.14,22.86,14.29,11.43,,,,,,
14,1,1,10,23.0,2.0,1,8.0,7.0,1.0,1,6.0,3.0,,0,,20.0,14.29,17.14,22.86,14.29,11.43,,,,,,
14,1,1,10,23.0,2.0,1,8.0,7.0,2.0,1,6.0,3.0,,1,,20.0,14.29,17.14,22.86,14.29,11.43,,,,,,
14,1,1,10,23.0,2.0,1,7.0,7.0,2.0,1,6.0,3.0,,0,,20.0,14.29,17.14,22.86,14.29,11.43,,,,,,
14,1,1,10,23.0,2.0,1,7.0,7.0,1.0,0,6.0,3.0,,1,,20.0,14.29,17.14,22.86,14.29,11.43,,,,,,
15,1,1,10,24.0,3.0,1,8.0,6.0,2.0,1,8.0,2.0,1.0,0,,21.21,18.18,12.12,21.21,6.06,21.21,,,,,,
15,1,1,10,24.0,3.0,1,10.0,1.0,1.0,0,8.0,2.0,1.0,0,,21.21,18.18,12.12,21.21,6.06,21.21,,,,,,
15,1,1,10,24.0,3.0,1,6.0,1.0,2.0,0,8.0,2.0,1.0,0,,21.21,18.18,12.12,21.21,6.06,21.21,,,,,,
15,1,1,10,24.0,3.0,1,9.0,7.0,2.0,0,8.0,2.0,1.0,0,,21.21,18.18,12.12,21.21,6.06,21.21,,,,,,
15,1,1,10,24.0,3.0,0,5.0,7.0,2.0,0,8.0,2.0,1.0,0,,21.21,18.18,12.12,21.21,6.06,21.21,,,,,,
15,1,1,10,24.0,3.0,1,9.0,2.0,1.0,0,8.0,2.0,1.0,0,,21.21,18.18,12.12,21.21,6.06,21.21,,,,,,
15,1,1,10,24.0,3.0,1,8.0,4.0,2.0,0,8.0,2.0,1.0,0,,21.21,18.18,12.12,21.21,6.06,21.21,,,,,,
15,1,1,10,24.0,3.0,1,9.0,7.0,2.0,1,8.0,2.0,1.0,0,,21.21,18.18,12.12,21.21,6.06,21.21,,,,,,
15,1,1,10,24.0,3.0,1,7.0,8.0,2.0,1,8.0,2.0,1.0,0,,21.21,18.18,12.12,21.21,6.06,21.21,,,,,,
15,1,1,10,24.0,3.0,1,6.0,6.0,2.0,0,8.0,2.0,1.0,0,,21.21,18.18,12.12,21.21,6.06,21.21,,,,,,
16,1,1,10,25.0,2.0,1,7.0,6.0,2.0,0,7.0,2.0,1.0,0,3.0,19.51,14.63,17.07,17.07,14.63,17.07,,,,,,
16,1,1,10,25.0,2.0,1,7.0,5.0,2.0,0,7.0,2.0,1.0,1,3.0,19.51,14.63,17.07,17.07,14.63,17.07,,,,,,
16,1,1,10,25.0,2.0,1,6.0,7.0,2.0,0,7.0,2.0,1.0,1,3.0,19.51,14.63,17.07,17.07,14.63,17.07,,,,,,
16,1,1,10,25.0,2.0,1,6.0,6.0,2.0,0,7.0,2.0,1.0,1,3.0,19.51,14.63,17.07,17.07,14.63,17.07,,,,,,
16,1,1,10,25.0,2.0,0,6.0,7.0,2.0,0,7.0,2.0,1.0,1,3.0,19.51,14.63,17.07,17.07,14.63,17.07,,,,,,
16,1,1,10,25.0,2.0,1,6.0,6.0,2.0,0,7.0,2.0,1.0,0,3.0,19.51,14.63,17.07,17.07,14.63,17.07,,,,,,
16,1,1,10,25.0,2.0,1,7.0,7.0,2.0,0,7.0,2.0,1.0,0,3.0,19.51,14.63,17.07,17.07,14.63,17.07,,,,,,
16,1,1,10,25.0,2.0,1,7.0,6.0,2.0,1,7.0,2.0,1.0,1,3.0,19.51,14.63,17.07,17.07,14.63,17.07,,,,,,
16,1,1,10,25.0,2.0,1,6.0,5.0,2.0,1,7.0,2.0,1.0,0,3.0,19.51,14.63,17.07,17.07,14.63,17.07,,,,,,
16,1,1,10,25.0,2.0,0,6.0,6.0,2.0,0,7.0,2.0,1.0,1,3.0,19.51,14.63,17.07,17.07,14.63,17.07,,,,,,
17,1,1,10,30.0,2.0,0,2.0,1.0,2.0,0,5.0,3.0,2.0,0,1.0,30.0,16.67,20.0,20.0,6.67,6.67,,,,,,
17,1,1,10,30.0,2.0,0,4.0,3.0,2.0,0,5.0,3.0,2.0,1,1.0,30.0,16.67,20.0,20.0,6.67,6.67,,,,,,
17,1,1,10,30.0,2.0,0,2.0,2.0,2.0,0,5.0,3.0,2.0,1,1.0,30.0,16.67,20.0,20.0,6.67,6.67,,,,,,
17,1,1,10,30.0,2.0,1,6.0,4.0,2.0,0,5.0,3.0,2.0,1,1.0,30.0,16.67,20.0,20.0,6.67,6.67,,,,,,
17,1,1,10,30.0,2.0,0,3.0,3.0,2.0,0,5.0,3.0,2.0,1,1.0,30.0,16.67,20.0,20.0,6.67,6.67,,,,,,
17,1,1,10,30.0,2.0,0,3.0,3.0,2.0,0,5.0,3.0,2.0,0,1.0,30.0,16.67,20.0,20.0,6.67,6.67,,,,,,
17,1,1,10,30.0,2.0,0,5.0,4.0,2.0,0,5.0,3.0,2.0,0,1.0,30.0,16.67,20.0,20.0,6.67,6.67,,,,,,
17,1,1,10,30.0,2.0,0,4.0,4.0,2.0,0,5.0,3.0,2.0,1,1.0,30.0,16.67,20.0,20.0,6.67,6.67,,,,,,
17,1,1,10,30.0,2.0,1,8.0,4.0,2.0,1,5.0,3.0,2.0,0,1.0,30.0,16.67,20.0,20.0,6.67,6.67,,,,,,
17,1,1,10,30.0,2.0,0,3.0,6.0,2.0,0,5.0,3.0,2.0,1,1.0,30.0,16.67,20.0,20.0,6.67,6.67,,,,,,
18,1,1,10,27.0,2.0,0,7.0,5.0,2.0,0,5.0,2.0,1.0,0,2.0,24.39,12.2,17.07,14.63,14.63,17.07,,,,,,
18,1,1,10,27.0,2.0,1,7.0,6.0,2.0,0,5.0,2.0,1.0,1,2.0,24.39,12.2,17.07,14.63,14.63,17.07,,,,,,
18,1,1,10,27.0,2.0,0,5.0,1.0,2.0,0,5.0,2.0,1.0,1,2.0,24.39,12.2,17.07,14.63,14.63,17.07,,,,,,
18,1,1,10,27.0,2.0,0,7.0,7.0,2.0,0,5.0,2.0,1.0,1,2.0,24.39,12.2,17.07,14.63,14.63,17.07,,,,,,
18,1,1,10,27.0,2.0,0,6.0,5.0,2.0,0,5.0,2.0,1.0,1,2.0,24.39,12.2,17.07,14.63,14.63,17.07,,,,,,
18,1,1,10,27.0,2.0,0,7.0,6.0,2.0,0,5.0,2.0,1.0,0,2.0,24.39,12.2,17.07,14.63,14.63,17.07,,,,,,
18,1,1,10,27.0,2.0,1,7.0,5.0,2.0,0,5.0,2.0,1.0,0,2.0,24.39,12.2,17.07,14.63,14.63,17.07,,,,,,
18,1,1,10,27.0,2.0,1,7.0,5.0,2.0,1,5.0,2.0,1.0,1,2.0,24.39,12.2,17.07,14.63,14.63,17.07,,,,,,
18,1,1,10,27.0,2.0,0,7.0,5.0,2.0,0,5.0,2.0,1.0,0,2.0,24.39,12.2,17.07,14.63,14.63,17.07,,,,,,
18,1,1,10,27.0,2.0,0,7.0,6.0,2.0,0,5.0,2.0,1.0,1,2.0,24.39,12.2,17.07,14.63,14.63,17.07,,,,,,
19,1,1,10,28.0,2.0,1,6.5,8.0,2.0,1,,,,0,,,,,,,,,,,,,
19,1,1,10,28.0,2.0,1,8.0,8.0,2.0,1,,,,1,,,,,,,,,,,,,
19,1,1,10,28.0,2.0,1,7.0,7.0,2.0,0,,,,1,,,,,,,,,,,,,
19,1,1,10,28.0,2.0,1,8.0,8.0,2.0,1,,,,1,,,,,,,,,,,,,
19,1,1,10,28.0,2.0,1,7.0,7.0,2.0,1,,,,1,,,,,,,,,,,,,
19,1,1,10,28.0,2.0,1,6.0,6.0,2.0,1,,,,0,,,,,,,,,,,,,
19,1,1,10,28.0,2.0,1,9.0,9.0,2.0,1,,,,0,,,,,,,,,,,,,
19,1,1,10,28.0,2.0,1,8.0,8.0,2.0,1,,,,1,,,,,,,,,,,,,
19,1,1,10,28.0,2.0,1,6.0,6.0,2.0,1,,,,0,,,,,,,,,,,,,
19,1,1,10,28.0,2.0,1,7.0,8.0,2.0,1,,,,1,,,,,,,,,,,,,
20,1,1,10,24.0,2.0,0,6.0,6.0,2.0,0,,,,0,1.0,,,,,,,,,,,,
20,1,1,10,24.0,2.0,0,6.0,9.0,2.0,0,,,,1,1.0,,,,,,,,,,,,
20,1,1,10,24.0,2.0,0,5.0,5.0,2.0,0,,,,1,1.0,,,,,,,,,,,,
20,1,1,10,24.0,2.0,0,7.0,7.0,2.0,0,,,,1,1.0,,,,,,,,,,,,
